	name	data_shape	unique_labels	path	f1_svm	acc_svm	f1_lin	acc_lin
0	breast-cancer-wisc	(699, 10)	2	/home/lev/datasets/classification_data/breast-cancer-wisc/breast-cancer-wisc_R.dat	0.9385	0.9429	0.9484	0.9524
1	soybean_train	(307, 36)	18	/home/lev/datasets/classification_data/soybean/soybean_train_R.dat	0.8918	0.9032	0.8964	0.8817
2	soybean_tes	(376, 36)	18	/home/lev/datasets/classification_data/soybean/soybean_test_R.dat	0.8674	0.9292	0.9559	0.9292
3	cute-nephritis	(120, 7)	2	/home/lev/datasets/classification_data/acute-nephritis/acute-nephritis_R.dat	1.0	1.0	1.0	1.0
4	cute	(120, 8)	2	/home/lev/datasets/classification_data/acute-nephritis/acute_R.dat	1.0	1.0	1.0	1.0
5	synthetic-control	(600, 61)	6	/home/lev/datasets/classification_data/synthetic-control/synthetic-control_R.dat	1.0	1.0	0.9838	0.9833
6	spectf_tes	(187, 45)	2	/home/lev/datasets/classification_data/spectf/spectf_test_R.dat	0.4865	0.9474	0.4818	0.9298
7	spectf_train	(80, 45)	2	/home/lev/datasets/classification_data/spectf/spectf_train_R.dat	0.7822	0.7917	0.7333	0.75
8	cylinder-bands	(512, 36)	2	/home/lev/datasets/classification_data/cylinder-bands/cylinder-bands_R.dat	0.7068	0.7403	0.6633	0.6883
9	plant-texture	(1599, 65)	100	/home/lev/datasets/classification_data/plant-texture/plant-texture_R.dat	0.7613	0.7729	0.8064	0.8125
10	pittsburg-bridges-REL-L	(103, 8)	3	/home/lev/datasets/classification_data/pittsburg-bridges-REL-L/pittsburg-bridges-REL-L_R.dat	0.5189	0.7097	0.471	0.6452
11	optical_tes	(1797, 63)	10	/home/lev/datasets/classification_data/optical/optical_test_R.dat	0.9852	0.9852	0.9607	0.9593
12	optical_train	(3823, 63)	10	/home/lev/datasets/classification_data/optical/optical_train_R.dat	0.9826	0.9826	0.9679	0.9677
13	libras	(360, 91)	15	/home/lev/datasets/classification_data/libras/libras_R.dat	0.7274	0.7407	0.6903	0.713
14	molec-biol-splice	(3190, 61)	3	/home/lev/datasets/classification_data/molec-biol-splice/molec-biol-splice_R.dat	0.864	0.8715	0.8441	0.8537
15	miniboone	(130064, 51)	2	/home/lev/datasets/classification_data/miniboone/miniboone_R.dat	0.0	0.0	0.0	0.0
16	planning	(182, 13)	2	/home/lev/datasets/classification_data/planning/planning_R.dat	0.3956	0.6545	0.3956	0.6545
17	seeds	(210, 8)	3	/home/lev/datasets/classification_data/seeds/seeds_R.dat	0.9207	0.9206	0.9555	0.9524
18	echocardiogram	(131, 11)	2	/home/lev/datasets/classification_data/echocardiogram/echocardiogram_R.dat	0.8667	0.9	0.9031	0.925
19	bloo	(748, 5)	2	/home/lev/datasets/classification_data/blood/blood_R.dat	0.4673	0.7333	0.5094	0.7422
20	heart-v	(200, 13)	5	/home/lev/datasets/classification_data/heart-va/heart-va_R.dat	0.2662	0.35	0.2757	0.35
21	energy-y2	(768, 9)	3	/home/lev/datasets/classification_data/energy-y2/energy-y2_R.dat	0.8795	0.9048	0.8673	0.8961
22	molec-biol-promoter	(106, 58)	2	/home/lev/datasets/classification_data/molec-biol-promoter/molec-biol-promoter_R.dat	0.9054	0.9062	0.8057	0.8125
23	statlog-german-credi	(1000, 25)	2	/home/lev/datasets/classification_data/statlog-german-credit/statlog-german-credit_R.dat	0.6943	0.7667	0.7085	0.7667
24	statlog-image	(2310, 19)	7	/home/lev/datasets/classification_data/statlog-image/statlog-image_R.dat	0.9323	0.9365	0.9375	0.9408
25	ilpd-indian-liver	(583, 10)	2	/home/lev/datasets/classification_data/ilpd-indian-liver/ilpd-indian-liver_R.dat	0.419	0.6743	0.5104	0.68
26	congressional-voting	(435, 17)	2	/home/lev/datasets/classification_data/congressional-voting/congressional-voting_R.dat	0.4831	0.6183	0.488	0.5954
27	wine	(178, 14)	3	/home/lev/datasets/classification_data/wine/wine_R.dat	1.0	1.0	1.0	1.0
28	nnealing_tes	(100, 32)	4	/home/lev/datasets/classification_data/annealing/annealing_test_R.dat	0.6232	0.7333	0.6545	0.7333
29	nnealing_train	(798, 32)	5	/home/lev/datasets/classification_data/annealing/annealing_train_R.dat	0.6571	0.9333	0.8243	0.9167
